roadRouteNm,roadKnd,la,lo,sgngnrInstlMthdSe,tfclghtSe,tfclghtOrdr,tfclghtHr,signlHrDcsnMthdSe,mngInstNm,telno,flasherOperBgngTm,flasherOperEndTm
장기로,시도,36.498952,127.225965,3,1,녹색화살표+황색+적색,25+3+132,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604436,127.278719,3,1,녹색화살표+녹색+황색+적색,13+64+3+20,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604346,127.278632,3,1,녹색화살표+녹색+황색+적색,13+64+3+20,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604279,127.278735,3,1,녹색+황색+적색,64+3+33,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604359,127.278818,3,1,녹색+황색+적색,64+3+33,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604322,127.278809,3,1,녹색화살표+황색+적색,23+3+74,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604346,127.278632,3,1,녹색화살표+황색+적색,23+3+74,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699499,127.210081,3,1,녹색화살표+황색+적색,20+3+127,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699338,127.210085,3,1,녹색화살표+황색+적색,30+3+117,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699368,127.21031,3,1,녹색화살표+황색+적색,30+3+117,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699368,127.21031,3,1,녹색+녹색화살표+황색+적색,80+20+3+47,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699844,127.210286,3,1,녹색+녹색화살표+황색+적색,80+20+3+47,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699499,127.210081,3,1,녹색+녹색화살표+황색+적색,80+20+3+47,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699338,127.210085,3,1,녹색+녹색화살표+황색+적색,80+20+3+47,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689361,127.20529,3,1,녹색화살표+황색+적색,20+3+127,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689357,127.205127,3,1,녹색화살표+황색+적색,20+3+127,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689258,127.205147,3,1,녹색화살표+황색+적색,33+3+114,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689255,127.205301,3,1,녹색화살표+황색+적색,33+3+114,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689255,127.205301,3,1,녹색+녹색화살표+황색+적색,77+20+3+50,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689361,127.20529,3,1,녹색+녹색화살표+황색+적색,77+20+3+50,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689357,127.205127,3,1,녹색+녹색화살표+황색+적색,77+20+3+50,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689258,127.205147,3,1,녹색+녹색화살표+황색+적색,77+20+3+50,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548143,127.325334,3,1,녹색화살표+황색+적색,20+3+97,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548264,127.325104,3,1,녹색화살표+황색+적색,20+3+97,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548196,127.324953,3,1,녹색화살표+황색+적색,35+3+82,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.54815,127.325194,3,1,녹색화살표+황색+적색,35+3+82,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548121,127.325123,3,1,녹색+녹색화살표+황색+적색,45+20+3+52,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548202,127.325278,3,1,녹색+녹색화살표+황색+적색,45+20+3+52,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548264,127.325155,3,1,녹색+녹색화살표+황색+적색,45+20+3+52,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548175,127.324977,3,1,녹색+녹색화살표+황색+적색,45+20+3+52,1,세종시청,044-300-5536,0:00,0:00
다정남로,시도,36.49512,127.249115,3,1,녹색+황색+적색,97+3+20,1,세종시청,044-300-5536,0:00,0:00
다정남로,시도,36.4952,127.247851,3,1,녹색+황색+적색,97+3+20,1,세종시청,044-300-5536,0:00,0:00
